rut	monto	comercio	fecha
207	236900	retail	2013-07-12
84	58980	extranjero	2018-06-08
197	119170	retail	2018-11-18
143	94420	extranjero	2015-11-20
25	12990	retail	2015-08-03
172	115160	almacen	2014-03-16
145	81260	retail	2011-09-09
1	120690	almacen	2018-10-10
172	85100	almacen	2014-03-25
136	86760	retail	2011-08-12
138	54300	retail	2015-11-09
60	179780	almacen	2017-07-10
38	38720	retail	2012-02-09
115	114460	extranjero	2018-10-11
48	146830	almacen	2014-08-07
48	228370	extranjero	2013-07-11
173	69600	retail	2014-02-27
101	31790	almacen	2016-09-07
30	170690	extranjero	2016-09-20
173	85200	almacen	2014-03-04
18	136300	extranjero	2015-06-11
205	161080	almacen	2018-09-22
122	93630	extranjero	2015-04-20
94	222370	extranjero	2011-05-05
201	162170	extranjero	2013-04-17
170	73090	almacen	2013-11-19
102	141680	retail	2011-03-09
203	132750	extranjero	2018-04-23
107	104800	retail	2014-05-09
62	81130	almacen	2014-02-28
62	135160	extranjero	2017-04-11
115	160570	extranjero	2015-01-20
90	136270	almacen	2018-08-16
187	93050	retail	2015-03-24
144	100550	retail	2018-03-15
197	116620	retail	2015-04-06
5	159580	extranjero	2012-04-14
7	159650	almacen	2012-11-25
216	137240	retail	2018-05-09
190	129280	almacen	2017-03-04
199	25510	retail	2013-07-21
50	143620	extranjero	2012-03-14
189	10680	almacen	2012-05-04
25	139850	extranjero	2012-05-17
163	163400	almacen	2015-07-19
181	95030	almacen	2016-11-28
212	130820	extranjero	2014-10-17
132	120450	extranjero	2015-11-11
202	160290	retail	2013-10-15
75	4650	extranjero	2014-02-11
192	6880	almacen	2018-11-01
186	196120	retail	2018-03-09
93	251230	extranjero	2018-09-17
146	134830	retail	2018-11-09
29	137040	retail	2016-07-15
93	55890	extranjero	2013-10-20
158	70590	extranjero	2014-06-23
43	132850	extranjero	2017-01-17
213	48530	extranjero	2015-06-23
133	24460	almacen	2017-03-07
6	75580	extranjero	2014-03-11
208	79090	extranjero	2015-07-17
177	72520	extranjero	2017-11-08
4	145290	retail	2011-01-06
163	16060	extranjero	2015-06-11
76	36650	retail	2017-01-18
129	146710	almacen	2013-04-10
90	115240	almacen	2016-09-01
194	226090	almacen	2016-11-10
9	130580	almacen	2016-10-07
109	77040	retail	2018-11-09
167	39960	almacen	2011-04-19
201	154800	almacen	2015-01-01
